ID | Title | Content | Tags
001 | Quick Brown Fox | The quick brown fox jumps over the lazy dog. A classic phrase for testing alphabets. | [animal, classic]
002 | JavaScript vs Python | Python is great for data science and AI. JavaScript dominates web development and frontend apps. | [coding, tech]
003 | iPhone 15 Pro Review | The new iPhone 15 Pro features a titanium frame and an upgraded camera system with 5x zoom. | [apple, gadget, 2024]
004 | Recipe: Apple Pie | To make the perfect apple pie, you need crisp Granny Smith apples, cinnamon, sugar, and a flaky crust. | [food, baking]
005 | International Shipping Info | Shipping to London, Paris, and Tokyo takes 5-7 business days. Import duties may apply to electronics. | [logistics, global]
006 | Troubleshooting Wi-Fi | If your Wi-Fi is slow, restart your router. Check if the 5GHz band is active instead of 2.4GHz. | [help, internet]
007 | Financial Report Q3 | Total revenue grew by 15% quarter-over-quarter. Net profit reached $4.2M, beating Wall Street expectations. | [finance, corporate]
008 | Learning Data Science | Data scientists spend 80% of their time cleaning dirty data. Python libraries like Pandas help. | [data, coding]
009 | Smart Home Setup | Connect your smart lights, thermostat, and security cameras to a central hub for voice control. | [iot, gadget]
010 | Common Typos Test | Receit, seperate, and untill are frequently misspelled words. This row tests fuzzy search logic. | [test, grammar]
011 | Deep Learning Basics | Neural networks process data using weights and biases. Training requires powerful GPUs. | [ai, tech]
012 | Healthy Meal Prep | Preparing meals in advance saves money. Focus on lean proteins like chicken, broccoli, and brown rice. | [food, health]
013 | Database Indexing Guide | Indexes accelerate search performance. B-Trees and Inverted Indexes are common structural implementations. | [data, backend]
014 | Cafe Latte Recipe | Brew a shot of espresso, steam milk to 150°F, and pour it gently to create a microfoam layer. | [food, coffee]
015 | Vintage Camera For Sale | Selling a functional 1970s film camera. Minor scratches on the outer casing but lenses are spotless. | [marketplace, photo]
